repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
commontk/CTK,73,1,0,0,0,0,0,0
commontk/DCMTK,2135,959,1,25,0,2,0,0
cppformat/cppformat,10,9,0,0,0,0,0,0
ddemidov/vexcl,10,0,1,0,0,0,0,0
deskvox/deskvox,648,336,24,0,0,4,0,0
dorkster/flare-engine-next,243,0,1,0,0,0,0,0
edubart/otclient,102,8,1,0,0,2,0,0
elemental/Elemental,95,0,0,0,0,0,0,0
esa/pagmo,39,13,27,157,0,0,0,0
facebook/mysql-5.6,9273,3075,68,136,0,621,0,0
freundlich/fcppt,11,0,52,1,0,0,0,0
freundlich/mizuiro,8,0,0,189,0,0,0,0
gnuradio/gnuradio,659,74,62,0,0,22,0,0
hluk/CopyQ,12,0,0,0,0,0,0,0
hpcc-systems/HPCC-Platform,6614,2034,65,155,0,105,0,0
imageworks/OpenColorIO,212,59,0,2,0,0,0,0
jbeder/yaml-cpp,3,0,1,0,0,0,0,0
juj/MathGeoLib,70,36,0,0,0,0,0,0
koreader/crengine,2069,823,11,19,0,9,0,0
lalinsky/chromaprint,10,0,1,0,0,0,0,0
ledger/ledger,111,37,0,44,0,0,0,0
libpinyin/libpinyin,117,36,0,0,0,0,0,0
libspatialindex/libspatialindex,410,0,22,2,0,0,0,0
lightspark/lightspark,195,25,4,2,0,25,0,0
lotem/librime,43,18,0,0,0,0,0,0
lxde/pcmanfm-qt,0,0,0,0,0,0,0,0
mangosthree/server,4007,1765,41,40,0,112,0,0
mavam/libbf,0,0,2,0,0,0,0,0
mempko/firestr,122,41,1,3,0,0,0,0
mickem/nscp,1009,323,29,17,0,50,0,0
mlpack/mlpack,14,8,11,61,0,0,0,0
mosra/corrade,37,1,0,0,0,1,0,0
msoos/cryptominisat,49,11,5,0,0,0,0,0
musescore/MuseScore,1281,83,0,0,0,6,0,0
nickbruun/hayai,0,0,1,0,0,0,0,0
openclonk/openclonk,842,282,4,5,0,6,0,0
opengm/opengm,1,0,3,0,0,0,0,0
openscenegraph/osg,3230,597,32,9,0,8,0,0
orocos-toolchain/typelib,23,2,0,6,0,0,0,0
percona/percona-server,4568,1685,42,97,0,131,0,0
quassel/quassel,30,4,3,0,0,0,0,0
rime/librime,40,19,0,0,0,0,0,0
root-mirror/root,11444,6036,160,376,0,949,0,0
sakra/cotire,0,0,0,0,0,0,0,0
samstyle/Xpeccy,219,42,0,0,0,0,0,0
saschazelzer/CppMicroServices,1,5,0,0,0,0,0,0
scross99/locic,3,2,0,0,0,0,0,0
simongog/sdsl-lite,122,9,8,0,0,0,0,0
spring/pr-downloader,538,352,2,3,0,9,0,0
stevenlovegrove/Pangolin,23,1,0,0,0,2,0,0
strasdat/Sophus,0,0,0,0,0,0,0,0
stuntrally/stuntrally,344,61,25,1,0,2,0,0
supercollider/sc3-plugins,600,117,9,0,0,10,0,0
supercollider/supercollider,4186,1452,47,31,0,51,0,0
supertuxkart/stk-code,236,51,31,0,0,5,0,0
symengine/symengine,0,0,0,0,0,0,0,0
syndicodefront/infekt,100,19,0,0,0,5,0,0
taglib/taglib,156,9,0,67,0,0,0,0
texus/TGUI,41,0,0,0,0,0,0,0
thesamet/rpcz,20,12,0,0,0,0,0,0
thewtex/tmux-mem-cpu-load,1,1,0,0,0,1,0,0
tpaviot/oce,3466,1622,2,73,0,1,0,0
tumi8/vermont,357,94,3,0,0,74,0,0
ukoethe/vigra,50,10,0,0,0,0,0,0
user-none/Sigil,1571,578,3,64,0,2,0,0
vcmi/vcmi,237,89,8,0,0,2,0,0
vinipsmaker/tufao,16,0,0,0,0,0,0,0
wesnoth/wesnoth,470,81,22,9,0,23,0,0
xrootd/xrootd,3611,1778,12,75,0,170,0,0
,100415,37982,1265,2269,0,3562,0,0
