Project,tool,file_old,line_old,file_new,line_new,threshhold,version_altered,date_altered,day,type,subtype,type,subtype
DGtal-team/DGtal, PVS-Studio, src/DGtal/topology/LightExplicitDigitalSurface.h,224, src/DGtal/topology/LightExplicitDigitalSurface.h,265   -   ,0.27027027, 5bb024cc611414fc524d28061dbe97791a925ab3,1457445183,1318,  Code Quality, General,,
FreeCAD/FreeCAD_sf_master, RATS, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_R_SMDS_Mesh.cpp,125, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_R_SMDS_Mesh.cpp,123   -   ,0.655172414, 666a3e5a6850264da5048b0a257a1bc591ce5780,1463213156,1505,  Input Validation and Representation, Buffer Overflow,,
FreeCAD/FreeCAD_sf_master, RATS, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_R_SMDS_Mesh.cpp,167, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_R_SMDS_Mesh.cpp,157   -   ,0.620689655, 666a3e5a6850264da5048b0a257a1bc591ce5780,1463213156,1505,  Input Validation and Representation, Buffer Overflow,,
FreeCAD/FreeCAD_sf_master, RATS, src/Base/FileInfo.cpp,185, src/Base/FileInfo.cpp,183   -   ,0.548387097, 3c88edd00704e1440fb005a9799f428d76adbbdc,1472907088,1617,  Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Base/FileInfo.cpp,185, src/Base/FileInfo.cpp,183   -   ,0.548387097, 3c88edd00704e1440fb005a9799f428d76adbbdc,1472907088,1617,  Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Gui/Command.cpp,441, src/Gui/Command.cpp,460   -   ,0.740740741, 3c269f4ccd5680867246c63ea415ccf327182e96,1465029428,1526,  Input Validation and Representation, Format String, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_R_SMDS_Mesh.cpp,125, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_R_SMDS_Mesh.cpp,123   -   ,0.655172414, 666a3e5a6850264da5048b0a257a1bc591ce5780,1463213156,1505,  Input Validation and Representation, Buffer Overflow,,
FreeCAD/FreeCAD_sf_master, Flawfinder, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_R_SMDS_Mesh.cpp,167, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_R_SMDS_Mesh.cpp,157   -   ,0.620689655, 666a3e5a6850264da5048b0a257a1bc591ce5780,1463213156,1505,  Input Validation and Representation, Buffer Overflow,,
FreeCAD/FreeCAD_sf_master, Flawfinder, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_W_SMDS_Mesh.cpp,167, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_W_SMDS_Mesh.cpp,507   -   508   -   ,0.568181818, 666a3e5a6850264da5048b0a257a1bc591ce5780 666a3e5a6850264da5048b0a257a1bc591ce5780,1463213156,1505,  Input Validation and Representation, Format String, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_W_SMDS_Mesh.cpp,170, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_W_SMDS_Mesh.cpp,508   -   ,0.568181818, 666a3e5a6850264da5048b0a257a1bc591ce5780,1463213156,1505,  Input Validation and Representation, Format String, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_W_SMDS_Mesh.cpp,173, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_W_SMDS_Mesh.cpp,508   -   ,0.545454545, 666a3e5a6850264da5048b0a257a1bc591ce5780,1463213156,1505,  Input Validation and Representation, Format String, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_W_SMDS_Mesh.cpp,190, src/3rdParty/salomesmesh/src/DriverSTL/DriverSTL_W_SMDS_Mesh.cpp,515   -   516   -   ,0.675675676, 666a3e5a6850264da5048b0a257a1bc591ce5780 666a3e5a6850264da5048b0a257a1bc591ce5780,1463213156,1505,  Input Validation and Representation, Format String, API Abuse, Often Misused: Strings
