repository, v1, Insecure_Randomness1, Privilege_Violation1, Access_Control1, Password_Management1, Empty_Password1, Hard_Coded_Password1, Password_inConfig1, Weak_Cryptography1, Privacy_Violation1, General1, NA1, v2, Insecure_Randomness2, Privilege_Violation2, Access_Control2, Password_Management2, Empty_Password2, Hard_Coded_Password2, Password_inConfig2, Weak_Cryptography2, Privacy_Violation2, General2, NA2
repository, v1, Insecure_Randomness1, Privilege_Violation1, Access_Control1, Password_Management1, Empty_Password1, Hard_Coded_Password1, Password_inConfig1, Weak_Cryptography1, Privacy_Violation1, General1, NA1, v2, Insecure_Randomness2, Privilege_Violation2, Access_Control2, Password_Management2, Empty_Password2, Hard_Coded_Password2, Password_inConfig2, Weak_Cryptography2, Privacy_Violation2, General2, NA2
repository, v1, Insecure_Randomness1, Privilege_Violation1, Access_Control1, Password_Management1, Empty_Password1, Hard_Coded_Password1, Password_inConfig1, Weak_Cryptography1, Privacy_Violation1, General1, NA1, v2, Insecure_Randomness2, Privilege_Violation2, Access_Control2, Password_Management2, Empty_Password2, Hard_Coded_Password2, Password_inConfig2, Weak_Cryptography2, Privacy_Violation2, General2, NA2
KDAB/GammaRay, 3d5cdd5353645676a23aafd9b8b1917694da3d87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Kazade/kazmath, 3b2de632783d5f566217094034a2a3366bf6efe6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, e25d39df2f289a3d06fc3e2318cf61bdedf23b71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
KhronosGroup/OpenCOLLADA, 5c548d2fc16ef35aa275eb207c111e27332f8b56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 428019272e7af8608b9c3e05f9ae1c30187b5325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
KiCAD/kicad-source-mirror, 2300697f0297ac64dd2ec3b38882bc670fbaef01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 474128a4452a9868e3e906fde219d665a795a530, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Kitware/CMake, 14f0378e103fd24915712cb94c98265ad18c8736, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 81cdab5beaffc7665550710b84006a0a7ce76cfa, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
Kitware/VTK, e1d409a6895180117cb9574c4d0ca3d53e27d7e7, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, b0ff5a4ce706dd2a39acdaa8132dab3f4ca99219, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
KitwareMedical/TubeTK, 4950ed986022d5248561dacdee7c2b043c9e80ac, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
LaurentGomila/SFML, 756cb09bc3caf7b543c495f9c40d3a48bdf31428, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2de690f02db4114ff41142c152ed94a944aee265, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
LiberatorUSA/GUCEF, 408b884adfb4ff62a5b7ec30798d704b91836d25, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6f8c0d256bb7bf729c9ab3c0806d3ffca1831287, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ManaPlus/ManaPlus, 4541175c81e5de39a3118729b7f5997d251b3d35, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c01aec243610016c2cd5e4211fee484627bc69ea, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Mudlet/Mudlet, 7a2ba8e0e41e1eae27ebae9faaedcc2b5747bf93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9cfbadc3ead1b303dd140e5734a64033bef778cc, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
MyGUI/mygui, d079917c3b8f448c3c4d06eb593272799a93d124, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 027f13b57a03ec258b50ba066e4b73deebd25f0d, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
OPM/opm-simulators, 930f0ea9a09f0b3ea54fbf0b605c7da3a471ecad, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, bf18ee7fb9a544c1134c931e1b77f08c79a24ce8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
OPM/opm-material, ff4f092a7ff03f16e128df1c6f1c8f6d1b6dbe8c, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, eaf85622abbeb4934d222c021c5170ea4bd8a885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
OpenImageIO/oiio, 777dc35b8ac1f18941bbc440da0cbe5e7b56669d, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, cb5a00eb21c9dc7e7aa36111c74988c07e555480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PCSX2/pcsx2, ec7781f1f9d59e5db181aae07e48e94945ed1565, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 9e1717fee542ee1641a6e719bafc403437475d2c, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
PixarAnimationStudios/OpenSubdiv, a00df9344c19e328c3d52270face2a4bc596550b, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, cbb02fd3ce32c11251f02d678eddc0a8d178583b, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Project-OSRM/osrm-backend, af65ccd054f64d162bf44375a534ecf45a7b59aa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0df81c49d5bedc106c2ce980d49cdf9386ea9a84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
RainerKuemmerle/g2o, deafc01ee8315b9405351fb145238c5d62f82dc7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8dec86fc74050a2d77c3fad0a010aa5c3a6a1010, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Reactive-Extensions/RxCpp, c808bb5b4536e35f25611db3c38fd9cda4a62c36, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0b3e8b7b47a11d03cf66ce8de57bf1da9108ce3b, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ReadyTalk/avian, dee99d6dd60b743a870d1a2c58183649c8a6449c, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4bacddb20ab0ecd099e3c2f3e010a69f978a9aff, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Ryochan7/antimicro, 81693777b4a51136fce097ea259a95466315c71f, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 198f8896e987cd6f6b7fa08c1f3803eebff2037e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
SINTEF-Geometry/GoTools, fe9c60cda04c18494eefbd03635a893ddf85ab07, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3fbcf74fa625ac71fa85860ecd6909d8f1c2831b, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SOCI/soci, e719c44bb89949d3c179a6390de57ccd9046878b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1e4b3654814edec463c2a71f3d7ae009320749a7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SafirSDK/safir_sdk_core, 88c98c69f4fd4727e96e2610acb9b057683ee67a, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8a789efdc8ffb97fa7a79ed286027a34d4039e63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
SimTk/openmm, feb79f770145bb12c99bbe058e29d077a381465d, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c77af6e9bc8e1419f3bba7bd9ef4b213a1d22d44, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Slicer/SlicerExecutionModel, 1d3e9a226bd594f23733993c16c337ba60077bc5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b6125d3f5f29f7395fee060a0a0bb04409818ad4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, bcb0a0cd60f83576484977824c6522f4e3e8e86b, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3d8a9b0ed655347f2e239f1773d8fcd6a62dddf5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
SuperTux/supertux, 0fb271c8711c141eb5b30314668c90d7d75fb7f1, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3918a884872e4e92805cf1476bd59db5ebf41431, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
TUM-I5/ASAGI, f633f96931ae00805f599078d5a1a6a830881554, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a0cd4e117c2b95035644cf6a3365d0cdfef5f784, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
TigerVNC/tigervnc, 53f520567202928f908b5f94f6d143e7067a8bdd, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0878eca6aa47106a24fee53ab3791c677fdfefbe, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
Vatsinator/Vatsinator, f80c21059afb89e8baec154283d3e8f12c62db30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b1b13d5f5738ae6876e571ad3d4c24d844c8af7b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
VcDevel/Vc, 9e6ec672ba8d9c085213291d95be009ed5838493, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 298f0440ab61c10b92ccfad709d15017ebd51066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
WCSim/WCSim, 05950d9609f1519397991df89d88c03c2ee6235b, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6bcfbafcf99436b5cfc426cb37eaf11d6265c67d, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Z3Prover/z3, 3350f32e1f2c01c9df63b7d71899796a18ce2272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44d4902bb4bd52c1c074d3189da078cd12ff64b6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-jit, cc93e169de9c136ce0f8f02c4f721aa17569d630, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38ab1abd4c8b0a4f0b101c13ffec71bc8939f29c, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-profiler, 48042dfd560b07cc727887cf15da1a5245d4b725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, f037c40e9706aa5e9d858d65eead648b6e725be9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
actor-framework/actor-framework, 9fb82f556760e1004e27fb4d303499b603a3fc19, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7fb9fdb9eeeae6d5311d3aa5d12acabe3471212d, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
akrzemi1/Optional, 8456c3923776b33b4ae852734273fe934c3e4e61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0507870a7e537706e8005297f9eed82b60626518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
alecthomas/entityx, de3fd13d72d82b507469a3ed8798d483df6bc5d1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59f62b5c0df10be433b9380777e4d5a649d03d95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
alembic/alembic, 048eb1201a37ed309909c1ac4e168968e1730b58, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 277684c561f6e6c1d6a3bfba4bdb6c83e5618978, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
apache/thrift, 5b4c6bfc627ddbd56d1e98d4b818bec8cd8a5efd, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11c3569720853d3339b82fc0231d54260ccf5fa8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
arangodb/arangodb, 4e068d49b73c88350dcf37afcfe7c51c73a7e835, 632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, e0e003d0601882ed9cb1a730dddbff787c144043, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
aras-p/glsl-optimizer, 21b98a985423eec771600d2db0fbf6d340106af9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, e06b8e7eaa830260a16f1b0938706fe0394b1c27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
arx/ArxLibertatis, c5c4e4668edb402fd55dfeeb462fe4ae3d85b1d1, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, bb2893ca91989a9929b4e54ac9fdb092f7fe4dda, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0
biometrics/openbr, d0fcef6248cdca941ad29bf40adae7d5a27b158a, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 927b7781d935f4953351e0436717bc3d124040a3, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bolero-MURAKAMI/Sprout, 59c5e7874c6b48b670fce5d42c5344f662f574c9, 913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93e22a984db9251e474b4df8ce41a076c7594669, 821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
brezerk/q4wine, edf81923f1f834c11876b4982e8548faacdbd2bf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 828f8c4bbd9dc45e1f8d5ea70cf95a19a9715779, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
brndnmtthws/conky, a58a6d4e081ca6ab241f20fcae80a6b6c31bf1c9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0e1f4526b425401a4ef882b5b1f104384e1f3c15, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
bro/bro, b527a9870da02e053e08803083f271b6f5eb28c1, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34ead91f992cbc40dcb81053343e2ef60a3aff61, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
bro/pysubnettree, 812f158ab98f3a46d50a0288fbd4d7692f9de651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 00cc7fa9a53410cff1369501eb3d4ae28ca4bc9d, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
c42f/tinyformat, d563f7fbcdce8f72751d5455e44e995ed7ead949, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3a33bbf65442432277eee079e83d3e8fac51730c, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
casadi/casadi, 64b7712a548e929515ba68b271e60c42546742ef, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, f023bea7221d67bc60f7211fbe8dc2bbdcb1b9da, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cern-it-sdc-id/davix, 32c5f3cf934500a570703c8f6bfc06ede10ed4b8, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, c40724b841bd58fa81af8dbf5768005e09727dd0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
chenshuo/muduo, 44879bf25ff60187dcaa938a637d6ec50fd8531d, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8d8868e7a55cfa11c094a8efb9ee1884a9349d03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
christopho/solarus, cc30297016e6deb1fbcd0b49f07e6c2059645014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 903d97ddca870ca89532118e7ec7590b8f1dec3d, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cinemast/libjson-rpc-cpp, c2453c967b2059eeb77a387a0827c0cf87f816e0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 546d7083118fea9531342becd030069804b39a43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
clintbellanger/flare-engine, 4fcdc4939a3544a5823b782dd90ae5b244a0eb10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, f2918d2ce7d8176c8a33445e8bb33dccab93f909, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cmangos/mangos-classic, 806a7883c5827925450f89e0d280f6c967357c50, 38, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 343d5851ef8053d17c9d540f071744a86fd323d5, 22, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2
cmangos/mangos-wotlk, 73cb0915ecfdd2694a0b7aa4bd9ba56e975638db, 34, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 5c72a7f8302399a9c041acacf377c08d89d77a8e, 23, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2
codelibre-net/schroot, 039d559fc8ae83e9f383f00ea17e0b7f84051a44, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74c8f8c2ae2d0939ae4d458c0c459f8fb7c2f8d0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
coin-or/CppAD, 40e2ccaaca4760f72dca0867aaaad97270186c5d, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6b1bcfe2985623f04cdc0eca3130b12d9ad8db6e, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
colobot/colobot, 92a8140b778675a769440dc206b11b8012734bff, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, f67a62fb28c882b1650b827730bac72f404e2c47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
commontk/CTK, f96b5014aac1d76468f03a708446cd334a8aba84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2ace7a3a58f1fe00fa47494c73966afce2d81ea0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
commontk/DCMTK, d8ed091cda2b815226eafe41f5b4fe3bd22f8d5d, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ecf4c70f605b28b79e490dbd0fc7d0e203e5d5c8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cppformat/cppformat, c03f55ec3a0511611fa7f0537f858544a0ed03bd, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251e8774b010b0e21ac774bd3196aabcd2f3b2d2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
cpputest/cpputest, 16ee2828a7bbfff1f43c259e3e75655bc76e980f, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126a87ac28ed6f175158803964212be727680625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
csete/gqrx, 4a66a03fcdd5ef1d929825d67793b0111c81e79a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4268098879c3f13a3f5646ad6f96cce22475965e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
danmar/cppcheck, 7c0aa4464c3d23fd499985fdc5fb4b24f54ff7bf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, dd9cb929bf0acdd897c3c48d957e5eb24df1e2d3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ddemidov/vexcl, 9da8cb44da3cce1b3f1542fb4615069a208470ee, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6cf94a715c054e9214c59b51fa3861fd7eca5f9d, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dermesser/libsocket, 5bbe6858b61c58b20d1e28a35f3135fb707e1570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7052dd2803328b702c4b9b422b050a0af82f9be0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
deskvox/deskvox, 96e52235b5397d800f15971594327bdd3d7eacc0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9dc865c914b037299da11901c5a793cb6ff824d7, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
dorkster/flare-engine-next, def388a7eecbfb2ac750e6b20507d5272d723dfc, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5c74d8c8a954c2ea367c69a8efc8a60ce69ec892, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dune-project/dune-common, 45c3f0ac13fd5db5ece0b6bec9e50d7407d0d660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1dceeb491a6ea08d191da279441e4da2a41db55b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
edubart/otclient, 8c731ac016d95407eed6c2767945a97fbdd4fa83, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c01b32b03255989497ca5331de898804e6a39a1b, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
elemental/Elemental, 351bc9460dcc58be62e9b42902e49640a97c0b0e, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, f96177ebcc0ad2a6598579df0d9fcae1babe26f5, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
esa/pagmo, 60d8566e2e771975fc84712fb46866007f9b3400, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ea8777a49c9e8e6bff2e7ae9b7a45d419f223490, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
etano/simpimc, 943fb6e3ec399b1f7b9ea075a447806f4522a6fd, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, e5d32c6fbf52c18c3992ffff1409dfd132ad5eec, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
eteran/edb-debugger, c656659b881cf8693b3584b923a128dc3597b8fa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76fe545b9390d41d2f5365cf785fcd455a67b5a5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
euroelessar/jreen, c04c229d2ead96db1af31e55c81d6ab00fb65a7b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9cb0ae2f89024ec6261090da02a3f23ca4b392d3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
facebook/mysql-5.6, 037c4910b360633160d97cc002c60576dea85393, 64, 0, 0, 6, 0, 0, 0, 1, 0, 0, 29, 45f59a05cc6bcf72aa9322f5802cee6a6f98c211, 64, 0, 0, 6, 0, 0, 0, 1, 0, 0, 29
falkTX/los, 6ad4052cfd0a552f387bb05028b51d9c6dde9610, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3d4b10e3fc4e435c6df0505a4bf58902fa78d227, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
