project,v1_date,v1_commit,v2_date,v2_commit
KiCAD/kicad-source-mirror,3-Jul-17,2300697f0297ac64dd2ec3b38882bc670fbaef01,31-Dec-12,45b01a5c9cb30ad6dd9b4de3b653cd64de09c36f
Kitware/CMake,18-Mar-17,14f0378e103fd24915712cb94c98265ad18c8736,6-Oct-12,57f03e59ba92989aaf3600399f11ffb308cc663e
Kitware/VTK,18-Mar-17,e1d409a6895180117cb9574c4d0ca3d53e27d7e7,16-Aug-12,4dee0274b81679e89cb300c53f29df3d56fe1001
KitwareMedical/TubeTK,19-Jun-17,4950ed986022d5248561dacdee7c2b043c9e80ac,17-Dec-12,e5ca99b965fa175ab4f977b9194b78c302a446cf
KjellKod/g3log,4-Jun-17,f42611d2a1ddc33ba3c1f09796b94cad903254ce,19-Nov-12,1011af308a8fb4d9fa2742772bb40b077ed087b2
Kst-plot/kst,4-Jul-17,540a599a2e000ac8ef0c336daf5963e7464327be,23-Dec-12,f3efdbceccf5fbd42f81b07cc8af8caeb1489ad4
LK8000/LK8000,27-Jun-17,91dc81d94bf2adea18b34bfa2b2d8c97e1a94167,24-Aug-12,047751c8a545d98afdd3e35688c3e2975fbd221d
LaurentGomila/SFML,20-Feb-17,756cb09bc3caf7b543c495f9c40d3a48bdf31428,25-Nov-12,135c1716e877464db720265f37316cbb54ef13f2
LiberatorUSA/GUCEF,11-Jun-17,408b884adfb4ff62a5b7ec30798d704b91836d25,30-Dec-12,fca62be52b8a4e9127f82d147135f4e22bd163ab
ManaPlus/ManaPlus,28-Jun-17,4541175c81e5de39a3118729b7f5997d251b3d35,12-Dec-12,9426129bc51ef8b63ddd4b76999dee4a86ce4de7
MariaDB/server,9-Aug-17,86f9b7714791f45f386e9aaa6f469ada626cd69d,2-Jul-12,f3388d1bd2b6a6b8ccb52f88b9ccc1e7e49c1ce9
MediaArea/MediaInfoLib,26-Feb-17,ed4e03b2b86418195e78fa44fbee07ad10659db9,27-Jan-12,df81931b885d6adb9f0b1921c6741a7089d6dc49
MrAlex94/Waterfox,21-Jun-17,f60534e75859c8bf4cbc16cdbc63958795e6842b,6-Sep-12,0b1ddebe64d159bc76861fce3d5488f65fd02192
Mudlet/Mudlet,2-Jul-17,7a2ba8e0e41e1eae27ebae9faaedcc2b5747bf93,31-Dec-12,af8c0db98928457c00ded482aed79c85f5b09d91
MyGUI/mygui,16-Mar-17,d079917c3b8f448c3c4d06eb593272799a93d124,12-Nov-12,000ead3b959f8795b534f2ee17af021a107ab4d6
