Project, commit1, commit2, RATS_Runtime_1, RATS_Runtime_2, Flawfinder_Runtime_1, Flawfinder_Runtime_2, Cppcheck_Runtime_1, Cppcheck_Runtime_2, Clang_Runtime_1, Clang_Runtime_2, PVS_studio_Runtime_1, PVS_studio_Runtime_2,  Parasoft_run_time1, Parasoft_run_time2
RainerKuemmerle/g2o, deafc01ee8315b9405351fb145238c5d62f82dc7 , 8dec86fc74050a2d77c3fad0a010aa5c3a6a1010 ,6110,4617,6074,5283,33745,26592,4,44563,523431,516408,2374655,432270
SINTEF-Geometry/GoTools, fe9c60cda04c18494eefbd03635a893ddf85ab07 , 82831d8f253b143e16d55b9fd266d3169e21c6da ,10874,10235,20136,19254,113619,111302,54526,38011,1449341,23065,7106702,3606074
SimTk/openmm, feb79f770145bb12c99bbe058e29d077a381465d , c77af6e9bc8e1419f3bba7bd9ef4b213a1d22d44 ,8383,6551,13922,11035,42304,50066,72059,46495,2198992,587465,68782,413500
Slicer/SlicerExecutionModel, 1d3e9a226bd594f23733993c16c337ba60077bc5 , b6125d3f5f29f7395fee060a0a0bb04409818ad4 ,1250,1063,1824,1391,2678,3902,24597,24731,7370,7932,34457,33911
SupSuper/OpenXcom, bcb0a0cd60f83576484977824c6522f4e3e8e86b , 3d8a9b0ed655347f2e239f1773d8fcd6a62dddf5 ,4718,2305,7201,3507,110263,16119,32344,32587,12549,289404,37321,191774
SuperTux/supertux, 0fb271c8711c141eb5b30314668c90d7d75fb7f1 , 3918a884872e4e92805cf1476bd59db5ebf41431 ,23349,19630,28391,22020,310687,325198,39840,46227,28433,522933,  42628, 422000
TUM-I5/ASAGI, f633f96931ae00805f599078d5a1a6a830881554 , a0cd4e117c2b95035644cf6a3365d0cdfef5f784 ,4201,3872,5143,4541,5512,5266,36440,29965,27418,30833,143691,59830
TigerVNC/tigervnc, 53f520567202928f908b5f94f6d143e7067a8bdd , 0878eca6aa47106a24fee53ab3791c677fdfefbe ,4301,4638,5523,8020,10331,58302,46876,99957,65399,128551,180154,183629
Vatsinator/Vatsinator, f80c21059afb89e8baec154283d3e8f12c62db30 , b1b13d5f5738ae6876e571ad3d4c24d844c8af7b ,2321,1203,3224,1610,3472,2189,34871,31070,241164,151473,601005,206982
VcDevel/Vc, 9e6ec672ba8d9c085213291d95be009ed5838493 , 298f0440ab61c10b92ccfad709d15017ebd51066 ,1466,870,3156,1812,244746,3695,198173,91699,757855,209764,2230691,542736
Zeex/samp-plugin-jit, cc93e169de9c136ce0f8f02c4f721aa17569d630 , 38ab1abd4c8b0a4f0b101c13ffec71bc8939f29c ,1036,755,2008,1378,4042,69015,34297,31308,11079,48791,42123,90584
Zeex/samp-plugin-profiler, 48042dfd560b07cc727887cf15da1a5245d4b725 , f037c40e9706aa5e9d858d65eead648b6e725be9 ,529,349,826,520,2182,1394,33028,32376,21873,41348,167213,90638
alecthomas/entityx, de3fd13d72d82b507469a3ed8798d483df6bc5d1 , 59f62b5c0df10be433b9380777e4d5a649d03d95 ,348,181,844,369,957,712,27407,58113,21898,55833,193398,78908
alembic/alembic, 048eb1201a37ed309909c1ac4e168968e1730b58 , 277684c561f6e6c1d6a3bfba4bdb6c83e5618978 ,3673,2897,6998,4087,14020,8477,37998,31618,317316,15625,759800,423086
arx/ArxLibertatis, c5c4e4668edb402fd55dfeeb462fe4ae3d85b1d1 , bb2893ca91989a9929b4e54ac9fdb092f7fe4dda ,3832,2398,5898,4615,17166,23745,219024,146617,61582,301284,346450,249489
biometrics/openbr, d0fcef6248cdca941ad29bf40adae7d5a27b158a , 927b7781d935f4953351e0436717bc3d124040a3 ,17906,10655,20286,13041,64160,32869,43793,38717,753574,109058,1657886,119826
brezerk/q4wine, edf81923f1f834c11876b4982e8548faacdbd2bf , 828f8c4bbd9dc45e1f8d5ea70cf95a19a9715779 ,4993,4531,5162,5398,10411,9630,29951,30943,117306,102152,590654,537096
brndnmtthws/conky, a58a6d4e081ca6ab241f20fcae80a6b6c31bf1c9 , 0e1f4526b425401a4ef882b5b1f104384e1f3c15 ,1331,1358,2531,2573,98529,90698,61365,26225,185691,10256,54291,40777
bro/bro, b527a9870da02e053e08803083f271b6f5eb28c1 , 34ead91f992cbc40dcb81053343e2ef60a3aff61 ,47838,27240,53463,32231,436946,368369,159501,39275,481349,35111,2658307,296369
bro/pysubnettree, 812f158ab98f3a46d50a0288fbd4d7692f9de651 , 00cc7fa9a53410cff1369501eb3d4ae28ca4bc9d ,550,318,999,859,1050,972,24726,26731,8747,8243,39167,36861
casadi/casadi, 64b7712a548e929515ba68b271e60c42546742ef , f023bea7221d67bc60f7211fbe8dc2bbdcb1b9da ,6645,6902,10154,9262,907886,593471,52085,37583,288930,17588,725215,106724
chenshuo/muduo, 44879bf25ff60187dcaa938a637d6ec50fd8531d , 8d8868e7a55cfa11c094a8efb9ee1884a9349d03 ,2815,2413,3574,2566,4768,3119,40166,26471,437275,243578,458620,169654
christopho/solarus, cc30297016e6deb1fbcd0b49f07e6c2059645014 , 903d97ddca870ca89532118e7ec7590b8f1dec3d ,5921,11697,7195,12333,9451,12500,77641,32191,327401,147069,1121828,361392
cinemast/libjson-rpc-cpp, c2453c967b2059eeb77a387a0827c0cf87f816e0 , 546d7083118fea9531342becd030069804b39a43 ,1044,365,1431,553,1992,5982,34219,25154,11274,7582,43664,37105
