repository, core bug, submoudle bug, total 
coin-or/CppAD,  ,        9,      315
colobot/colobot,  ,        0,      529
commontk/CTK,  ,       49,      140
commontk/DCMTK,  ,     9478,    14246
cppformat/cppformat,  ,        0,       13
cpputest/cpputest,  ,        0,        0
csete/gqrx,  ,       26,       92
danmar/cppcheck,  ,        3,      342
ddemidov/vexcl,  ,        0,       31
dermesser/libsocket,  ,      230,      320
deskvox/deskvox,  ,        0,     1387
dorkster/flare-engine-next,  ,        0,      363
dune-project/dune-common,  ,        3,       63
edubart/otclient,  ,        0,      260
elemental/Elemental,  ,    11570,    11713
esa/pagmo,  ,        0,      393
etano/simpimc,  ,        0,      111
eteran/edb-debugger,  ,       42,      414
euroelessar/jreen,  ,        0,      182
facebook/mysql-5.6,  ,       20,    14228
falkTX/los,  ,        1,      713
freeorion/freeorion,  ,      119,      535
freundlich/fcppt,  ,       18,      204
freundlich/mizuiro,  ,       24,      248
gemrb/gemrb,  ,      129,     2692
gflags/gflags,  ,        2,       52
gnuradio/gnuradio,  ,       60,     1317
google/glog,  ,       13,      144
highfidelity/hifi,  ,      367,      631
hluk/CopyQ,  ,       26,       55
hpcc-systems/HPCC-Platform,  ,     4174,    15353
imageworks/OpenColorIO,  ,       77,      364
jbeder/yaml-cpp,  ,        0,       23
jktjkt/trojita,  ,       32,      163
juj/MathGeoLib,  ,      147,      325
koreader/crengine,  ,     6270,     9861
lalinsky/chromaprint,  ,       37,       55
lballabio/QuantLib,  ,        2,       36
ledger/ledger,  ,        5,      356
leethomason/tinyxml2,  ,        0,       56
lemire/FastPFor,  ,        0,      109
libpinyin/libpinyin,  ,        0,      195
libspatialindex/libspatialindex,  ,     1885,     2449
lightspark/lightspark,  ,        2,      500
litehtml/litehtml,  ,      999,     1068
loot/loot,  ,      105,      148
lotem/librime,  ,       74,       74
lxde/pcmanfm-qt,  ,        0,        0
mangosthree/server,  ,     6320,     6320
marek629/SIR,  ,        8,       73
martinrunge/muroa,  ,      706,     1049
mattgodbolt/seasocks,  ,      889,      937
mavam/libbf,  ,        0,        3
mempko/firestr,  ,      265,      265
meta-toolkit/meta,  ,    13851,    13905
mfontanini/libtins,  ,       52,      393
mickem/nscp,  ,     3726,     4044
mlpack/mlpack,  ,        0,      162
mosra/corrade,  ,        3,       55
ms705/firmament,  ,       86,      371
msgpack/msgpack-c,  ,      740,      894
msoos/cryptominisat,  ,       50,      169
muflihun/easyloggingpp,  ,       20,       91
musescore/MuseScore,  ,        0,     2147
nickbruun/hayai,  ,        0,        2
nyanp/tiny-cnn,  ,        2,       45
open-source-parsers/jsoncpp,  ,        2,       27
openclonk/openclonk,  ,      150,     2262
opengm/opengm,  ,       57,       75
openscenegraph/osg,  ,     4567,    11604
opentrack/opentrack,  ,        1,       97
orocos-toolchain/typelib,  ,        0,       48
osmcode/osmcoastline,  ,        1,       37
percona/percona-server,  ,       51,     8743
philsquared/Catch,  ,       22,      106
pingus/pingus,  ,      110,      311
quassel/quassel,  ,       40,      170
rime/librime,  ,       93,       93
ripple/rippled,  ,    12163,    15525
root-mirror/root,  ,       14,    18323
sakra/cotire,  ,        1,        1
samstyle/Xpeccy,  ,    12547,    13083
saschazelzer/CppMicroServices,  ,     2032,     2052
scross99/locic,  ,       52,       99
servo/rust-azure,  ,        0,      243
shogun-toolbox/shogun,  ,      310,     3607
simbody/simbody,  ,     3383,     5466
simongog/sdsl-lite,  ,      617,      784
simsong/tcpflow,  ,      129,      270
spring/pr-downloader,  ,     2742,     3693
stevenlovegrove/Pangolin,  ,        0,      121
strasdat/Sophus,  ,        0,        1
stuntrally/stuntrally,  ,       74,      605
supercollider/sc3-plugins,  ,      741,     2072
supercollider/supercollider,  ,      472,     6721
supertuxkart/stk-code,  ,        0,      979
symengine/symengine,  ,     1666,     1675
syndicodefront/infekt,  ,      173,      385
syoyo/tinyobjloader,  ,        0,       33
taglib/taglib,  ,        0,      405
tesseract-ocr/tesseract,  ,       11,     1609
texus/TGUI,  ,        0,       57
thesamet/rpcz,  ,       17,       45
thestk/rtaudio,  ,        0,      175
thewtex/tmux-mem-cpu-load,  ,        0,        2
tpaviot/oce,  ,        2,     5211
triAGENS/ArangoDB,  ,    11420,    11420
tstack/lnav,  ,       23,      541
tudelft-gist/val3dity,  ,       23,       25
tudelft3d/val3dity,  ,       25,       25
tumi8/vermont,  ,     1718,     2515
ukoethe/vigra,  ,     1173,     1316
user-none/Sigil,  ,    13532,    15620
vcmi/vcmi,  ,        0,      892
vinipsmaker/tufao,  ,        8,       34
vle-forge/vle,  ,       91,      267
wdas/ptex,  ,      465,      555
wesnoth/wesnoth,  ,       27,     1099
worldforge/libwfut,  ,        1,      186
xoreos/xoreos,  ,       32,      839
xournalpp/xournalpp,  ,      745,     3444
xrootd/xrootd,  ,        0,     6855
zeromq/libzmq,  ,      731,     1098
zeromq/zeromq4-1,  ,      824,     1147
zeux/pugixml,  ,        0,       84
