Project, commit1, commit2, RATS_Runtime_1, RATS_Runtime_2, Flawfinder_Runtime_1, Flawfinder_Runtime_2, Cppcheck_Runtime_1, Cppcheck_Runtime_2, Clang_Runtime_1, Clang_Runtime_2, PVS_studio_Runtime_1, PVS_studio_Runtime_2,  Parasoft_run_time1, Parasoft_run_time2
H-uru/Plasma, 76f136261c9bc88b3cb6e9e70e63f54e64bcd416 , d382da0fe7823fe8c61949365c757a5bddd8182b ,8310,7322,16828,18820,173709,178333,14988,13747,20340,20859,42883,40399
InsightSoftwareConsortium/ITK, 07cb23f9866768b5f4ee48ebec8766b6e19efc69 , 35e3315e0248df1fa93ba4b0c90f4a49162d8abe ,46074,62522,78835,98882,507046,1103317,2220894,1479671,149942,140475,853954,594733
Itseez/opencv, c1007c7276e889f5f284702515a60b6799df9cd7 , fd31234122a73e5585bccd9ca83cb2401967113f ,17182,11858,34307,20935,542738,250908,348995,90001,0,0,406849,171706
KDAB/GammaRay, 3d5cdd5353645676a23aafd9b8b1917694da3d87 , c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e ,3960,1134,7248,2261,18232,4743,79147,41504,940765,157954,1530370,373164
Kazade/kazmath, 3b2de632783d5f566217094034a2a3366bf6efe6 , e25d39df2f289a3d06fc3e2318cf61bdedf23b71 ,723,864,1724,1275,108761,106431,31533,24745,13778,13095,98819,67413
KhronosGroup/OpenCOLLADA, 5c548d2fc16ef35aa275eb207c111e27332f8b56 , 428019272e7af8608b9c3e05f9ae1c30187b5325 ,8540,8451,29363,29765,736232,712303,51721,48519,2896848,2420245,1524626,800914
KiCAD/kicad-source-mirror, 2300697f0297ac64dd2ec3b38882bc670fbaef01 , 474128a4452a9868e3e906fde219d665a795a530 ,14373,14517,54969,31753,448544,40248,73173,25472,6665349,15200,811417,631341
Kitware/CMake, 14f0378e103fd24915712cb94c98265ad18c8736 , 81cdab5beaffc7665550710b84006a0a7ce76cfa ,32723,11780,43673,17787,963874,488840,780273,657771,931192,532395,3840870,2271862
Kitware/VTK, e1d409a6895180117cb9574c4d0ca3d53e27d7e7 , b0ff5a4ce706dd2a39acdaa8132dab3f4ca99219 ,63154,66683,120626,120447,1162716,997975,920310,847744,17353559,0,336257,326778
KitwareMedical/TubeTK, 4950ed986022d5248561dacdee7c2b043c9e80ac , 357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6 ,5405,2370,7020,3285,11038,27836,42578,31221,2635,2602,54195,42553
LaurentGomila/SFML, 756cb09bc3caf7b543c495f9c40d3a48bdf31428 , 2de690f02db4114ff41142c152ed94a944aee265 ,2535,1524,4123,4265,4636,2273,34800,35615,70573,65285,203531,162156
LiberatorUSA/GUCEF, 408b884adfb4ff62a5b7ec30798d704b91836d25 , 6f8c0d256bb7bf729c9ab3c0806d3ffca1831287 ,67872,29091,158650,46139,806753,238440,48346,43789,2694548,1548828,115020,92962
ManaPlus/ManaPlus, 4541175c81e5de39a3118729b7f5997d251b3d35 , c01aec243610016c2cd5e4211fee484627bc69ea ,14525,10050,18807,13961,66893,110816,45390,42291,784638,490774,2504077,1072644
Mudlet/Mudlet, 7a2ba8e0e41e1eae27ebae9faaedcc2b5747bf93 , 9cfbadc3ead1b303dd140e5734a64033bef778cc ,2157,3298,3845,4970,49886,43429,24584,25459,250184,121749,152119,92080
MyGUI/mygui, d079917c3b8f448c3c4d06eb593272799a93d124 , 027f13b57a03ec258b50ba066e4b73deebd25f0d ,7619,6739,10691,9286,141064,23055,77073,41802,924597,752076,2424795,1082465
OPM/opm-simulators, 930f0ea9a09f0b3ea54fbf0b605c7da3a471ecad , bf18ee7fb9a544c1134c931e1b77f08c79a24ce8 ,1109,1022,2497,2378,4026,4047,163575,151919,541399,354805,135138,111620
OPM/opm-material, ff4f092a7ff03f16e128df1c6f1c8f6d1b6dbe8c , eaf85622abbeb4934d222c021c5170ea4bd8a885 ,5056,3927,5152,4858,6964,4331,93827,92392,70285,64980,186025,94704
OpenImageIO/oiio, 777dc35b8ac1f18941bbc440da0cbe5e7b56669d , cb5a00eb21c9dc7e7aa36111c74988c07e555480 ,4798,3716,7062,5440,59757,45062,49136,41596,538795,415870,195644,250823
PCSX2/pcsx2, ec7781f1f9d59e5db181aae07e48e94945ed1565 , 9e1717fee542ee1641a6e719bafc403437475d2c ,21324,21470,40458,33864,1706781,840472,65904,46979,2912357,30278,3779530,1479890
PixarAnimationStudios/OpenSubdiv, a00df9344c19e328c3d52270face2a4bc596550b , cbb02fd3ce32c11251f02d678eddc0a8d178583b ,2819,3530,5232,4546,45728,36220,56019,55697,128690,97190,147490,112037
Project-OSRM/osrm-backend, af65ccd054f64d162bf44375a534ecf45a7b59aa , 0df81c49d5bedc106c2ce980d49cdf9386ea9a84 ,5205,1492,7810,2966,8022,113253,54899,66394,1686913,768289,1452366,134981
RainerKuemmerle/g2o, deafc01ee8315b9405351fb145238c5d62f82dc7 , 8dec86fc74050a2d77c3fad0a010aa5c3a6a1010 ,6110,4617,6074,5283,33745,26592,4,44563,523431,516408,2374655,432270
Reactive-Extensions/RxCpp, c808bb5b4536e35f25611db3c38fd9cda4a62c36 , 0b3e8b7b47a11d03cf66ce8de57bf1da9108ce3b ,8311,7726,8882,8180,10034,8879,36615,33690,634295,468013,1473241,1021873
ReadyTalk/avian, dee99d6dd60b743a870d1a2c58183649c8a6449c , 4bacddb20ab0ecd099e3c2f3e010a69f978a9aff ,4587,3595,5240,5060,44305,41585,24936,25880,25761,24971,136355,97495
Ryochan7/antimicro, 81693777b4a51136fce097ea259a95466315c71f , 198f8896e987cd6f6b7fa08c1f3803eebff2037e ,2462,2104,3091,2733,49390,29150,38918,36976,200198,158742,573180,473687
SINTEF-Geometry/GoTools, fe9c60cda04c18494eefbd03635a893ddf85ab07 , 82831d8f253b143e16d55b9fd266d3169e21c6da ,10874,10235,20136,19254,113619,111302,54526,38011,1449341,23065,7106702,3606074
SOCI/soci, e719c44bb89949d3c179a6390de57ccd9046878b , 1e4b3654814edec463c2a71f3d7ae009320749a7 ,3323,3556,4209,3933,5031,4840,50368,37391,229833,185311,0,0
STEllAR-GROUP/hpx, 694ae57b429fcfe67fc04059b2504398e0457a73 , 3a14ec85644e3798eeb3dfe11be1ddcdda45d407 ,12171,10932,18357,13059,42046,22520,295693,126882,1221614,1221642,1202554,117050
SafirSDK/safir_sdk_core, 88c98c69f4fd4727e96e2610acb9b057683ee67a , 8a789efdc8ffb97fa7a79ed286027a34d4039e63 ,34162,33634,34594,33730,50115,43983,72487,68705,0,0,138689,131510
SimTk/openmm, feb79f770145bb12c99bbe058e29d077a381465d , c77af6e9bc8e1419f3bba7bd9ef4b213a1d22d44 ,8383,6551,13922,11035,42304,50066,72059,46495,2198992,587465,68782,413500
Slicer/SlicerExecutionModel, 1d3e9a226bd594f23733993c16c337ba60077bc5 , b6125d3f5f29f7395fee060a0a0bb04409818ad4 ,1250,1063,1824,1391,2678,3902,24597,24731,7370,7932,34457,33911
SupSuper/OpenXcom, bcb0a0cd60f83576484977824c6522f4e3e8e86b , 3d8a9b0ed655347f2e239f1773d8fcd6a62dddf5 ,4718,2305,7201,3507,110263,16119,32344,32587,12549,289404,37321,191774
SuperTuxTeam/supertux, 0fb271c8711c141eb5b30314668c90d7d75fb7f1 , 3918a884872e4e92805cf1476bd59db5ebf41431 ,24460,20495,27260,23920,328863,320533,41854,45181,26602,551098,40756,411692
TUM-I5/ASAGI, f633f96931ae00805f599078d5a1a6a830881554 , a0cd4e117c2b95035644cf6a3365d0cdfef5f784 ,4201,3872,5143,4541,5512,5266,36440,29965,27418,30833,143691,59830
TigerVNC/tigervnc, 53f520567202928f908b5f94f6d143e7067a8bdd , 0878eca6aa47106a24fee53ab3791c677fdfefbe ,4301,4638,5523,8020,10331,58302,46876,99957,65399,128551,180154,183629
Vatsinator/Vatsinator, f80c21059afb89e8baec154283d3e8f12c62db30 , b1b13d5f5738ae6876e571ad3d4c24d844c8af7b ,2321,1203,3224,1610,3472,2189,34871,31070,241164,151473,601005,206982
VcDevel/Vc, 9e6ec672ba8d9c085213291d95be009ed5838493 , 298f0440ab61c10b92ccfad709d15017ebd51066 ,1466,870,3156,1812,244746,3695,198173,91699,757855,209764,2230691,542736
WCSim/WCSim, 05950d9609f1519397991df89d88c03c2ee6235b , 6bcfbafcf99436b5cfc426cb37eaf11d6265c67d ,856,836,1694,1663,3125,2704,25639,24852,83137,66926,99131,47902
Z3Prover/z3, 3350f32e1f2c01c9df63b7d71899796a18ce2272 , 44d4902bb4bd52c1c074d3189da078cd12ff64b6 ,9027,9275,15447,14400,67563,2960014,53309,143,1318483,10883,3524322,566517
Zeex/samp-plugin-jit, cc93e169de9c136ce0f8f02c4f721aa17569d630 , 38ab1abd4c8b0a4f0b101c13ffec71bc8939f29c ,1036,755,2008,1378,4042,69015,34297,31308,11079,48791,42123,90584
Zeex/samp-plugin-profiler, 48042dfd560b07cc727887cf15da1a5245d4b725 , f037c40e9706aa5e9d858d65eead648b6e725be9 ,529,349,826,520,2182,1394,33028,32376,21873,41348,167213,90638
actor-framework/actor-framework, 9fb82f556760e1004e27fb4d303499b603a3fc19 , 7fb9fdb9eeeae6d5311d3aa5d12acabe3471212d ,2751,1923,4272,3292,7016,5566,39384,33188,470848,158155,1451822,104763
akrzemi1/Optional, 8456c3923776b33b4ae852734273fe934c3e4e61 , 0507870a7e537706e8005297f9eed82b60626518 ,232,61,2079,485,660,1266,24671,25010,8427,8642,42392,42132
alecthomas/entityx, de3fd13d72d82b507469a3ed8798d483df6bc5d1 , 59f62b5c0df10be433b9380777e4d5a649d03d95 ,348,181,844,369,957,712,27407,58113,21898,55833,193398,78908
alembic/alembic, 048eb1201a37ed309909c1ac4e168968e1730b58 , 277684c561f6e6c1d6a3bfba4bdb6c83e5618978 ,3673,2897,6998,4087,14020,8477,37998,31618,317316,15625,759800,423086
apache/thrift, 5b4c6bfc627ddbd56d1e98d4b818bec8cd8a5efd , 11c3569720853d3339b82fc0231d54260ccf5fa8 ,14731,12963,16597,14380,28429,24317,80548,82097,416417,417860,399296,307597
aras-p/glsl-optimizer, 21b98a985423eec771600d2db0fbf6d340106af9 , e06b8e7eaa830260a16f1b0938706fe0394b1c27 ,6118,6304,7261,7067,85238,84991,26451,25262,82066,77377,173519,159333
arx/ArxLibertatis, c5c4e4668edb402fd55dfeeb462fe4ae3d85b1d1 , bb2893ca91989a9929b4e54ac9fdb092f7fe4dda ,3832,2398,5898,4615,17166,23745,219024,146617,61582,301284,346450,249489
biometrics/openbr, d0fcef6248cdca941ad29bf40adae7d5a27b158a , 927b7781d935f4953351e0436717bc3d124040a3 ,17906,10655,20286,13041,64160,32869,43793,38717,753574,109058,1657886,119826
bolero-MURAKAMI/Sprout, 59c5e7874c6b48b670fce5d42c5344f662f574c9 , 93e22a984db9251e474b4df8ce41a076c7594669 ,13386,11237,17268,14463,21532,18887,30855,31073,477522,424691,76449,427502
brezerk/q4wine, edf81923f1f834c11876b4982e8548faacdbd2bf , 828f8c4bbd9dc45e1f8d5ea70cf95a19a9715779 ,4993,4531,5162,5398,10411,9630,29951,30943,117306,102152,590654,537096
brndnmtthws/conky, a58a6d4e081ca6ab241f20fcae80a6b6c31bf1c9 , 0e1f4526b425401a4ef882b5b1f104384e1f3c15 ,1331,1358,2531,2573,98529,90698,61365,26225,185691,10256,54291,40777
bro/bro, b527a9870da02e053e08803083f271b6f5eb28c1 , 34ead91f992cbc40dcb81053343e2ef60a3aff61 ,47838,27240,53463,32231,436946,368369,159501,39275,481349,35111,2658307,296369
bro/pysubnettree, 812f158ab98f3a46d50a0288fbd4d7692f9de651 , 00cc7fa9a53410cff1369501eb3d4ae28ca4bc9d ,550,318,999,859,1050,972,24726,26731,8747,8243,39167,36861
c42f/tinyformat, d563f7fbcdce8f72751d5455e44e995ed7ead949 , 3a33bbf65442432277eee079e83d3e8fac51730c ,85,63,315,289,3558,3555,24785,137,7661,475,37936,29047
casadi/casadi, 64b7712a548e929515ba68b271e60c42546742ef , f023bea7221d67bc60f7211fbe8dc2bbdcb1b9da ,6645,6902,10154,9262,907886,593471,52085,37583,288930,17588,725215,106724
cern-it-sdc-id/davix, 32c5f3cf934500a570703c8f6bfc06ede10ed4b8 , c40724b841bd58fa81af8dbf5768005e09727dd0 ,6881,7086,8998,8800,40209,55091,97443,90210,130211,81953,392216,138112
chenshuo/muduo, 44879bf25ff60187dcaa938a637d6ec50fd8531d , 8d8868e7a55cfa11c094a8efb9ee1884a9349d03 ,2815,2413,3574,2566,4768,3119,40166,26471,437275,243578,458620,169654
christopho/solarus, cc30297016e6deb1fbcd0b49f07e6c2059645014 , 903d97ddca870ca89532118e7ec7590b8f1dec3d ,5921,11697,7195,12333,9451,12500,77641,32191,327401,147069,1121828,361392
cinemast/libjson-rpc-cpp, c2453c967b2059eeb77a387a0827c0cf87f816e0 , 546d7083118fea9531342becd030069804b39a43 ,1044,365,1431,553,1992,5982,34219,25154,11274,7582,43664,37105
clintbellanger/flare-engine, 4fcdc4939a3544a5823b782dd90ae5b244a0eb10 , f2918d2ce7d8176c8a33445e8bb33dccab93f909 ,2497,645,3520,1087,21268,7071,32898,31734,138134,56958,302657,124908
