Repository,Version1,Java1, Python1, Ruby1, JavaScript1, CS1, PHP1, XML1, Go1, HTML1, JSON1, perl1,  Scala1, Apex1, R1, Swift1, SAS1, Crystal1, Basic1, Assemlbly1, TypeScript1, CSS1, PLSQL1, Shell1,Version1,Java2, Python2, Ruby2, JavaScript2, CS2, PHP2, XML2, Go2, HTML2, JSON2, perl2,  Scala2, Apex2, R2, Swift2, SAS2, Crystal2, Basic2, Assemlbly2, TypeScript2, CSS2, PLSQL2, Shell2
RainerKuemmerle/g2o, deafc01ee8315b9405351fb145238c5d62f82dc7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, 8dec86fc74050a2d77c3fad0a010aa5c3a6a1010,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SINTEF-Geometry/GoTools, fe9c60cda04c18494eefbd03635a893ddf85ab07,0,0,0,0,0,0,597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, 3fbcf74fa625ac71fa85860ecd6909d8f1c2831b,0,0,0,0,0,0,597,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SimTk/openmm, feb79f770145bb12c99bbe058e29d077a381465d,0,44,0,0,0,0,194,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1, c77af6e9bc8e1419f3bba7bd9ef4b213a1d22d44,0,117,0,0,0,0,215,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Slicer/SlicerExecutionModel, 1d3e9a226bd594f23733993c16c337ba60077bc5,0,0,0,0,0,0,11,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,63, b6125d3f5f29f7395fee060a0a0bb04409818ad4,0,0,0,0,0,0,13,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,71
SupSuper/OpenXcom, bcb0a0cd60f83576484977824c6522f4e3e8e86b,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1, 3d8a9b0ed655347f2e239f1773d8fcd6a62dddf5,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SuperTux/supertux, 0fb271c8711c141eb5b30314668c90d7d75fb7f1,14,79,2,0,26,0,15,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,17, 3918a884872e4e92805cf1476bd59db5ebf41431,14,84,2,0,26,0,17,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,19
TUM-I5/ASAGI, f633f96931ae00805f599078d5a1a6a830881554,0,45,1,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,27, a0cd4e117c2b95035644cf6a3365d0cdfef5f784,0,46,1,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,28
TigerVNC/tigervnc, 53f520567202928f908b5f94f6d143e7067a8bdd,103,0,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0878eca6aa47106a24fee53ab3791c677fdfefbe,259,0,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Vatsinator/Vatsinator, f80c21059afb89e8baec154283d3e8f12c62db30,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3, b1b13d5f5738ae6876e571ad3d4c24d844c8af7b,1,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,16,0,0,0
VcDevel/Vc, 9e6ec672ba8d9c085213291d95be009ed5838493,0,0,1,0,0,0,4,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,7, 298f0440ab61c10b92ccfad709d15017ebd51066,0,0,0,0,0,0,4,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,8
Zeex/samp-plugin-jit, cc93e169de9c136ce0f8f02c4f721aa17569d630,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3, 38ab1abd4c8b0a4f0b101c13ffec71bc8939f29c,0,1,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3
Zeex/samp-plugin-profiler, 48042dfd560b07cc727887cf15da1a5245d4b725,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0, f037c40e9706aa5e9d858d65eead648b6e725be9,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
alecthomas/entityx, de3fd13d72d82b507469a3ed8798d483df6bc5d1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 59f62b5c0df10be433b9380777e4d5a649d03d95,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alembic/alembic, 048eb1201a37ed309909c1ac4e168968e1730b58,0,41,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 277684c561f6e6c1d6a3bfba4bdb6c83e5618978,0,74,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arx/ArxLibertatis, c5c4e4668edb402fd55dfeeb462fe4ae3d85b1d1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, bb2893ca91989a9929b4e54ac9fdb092f7fe4dda,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biometrics/openbr, d0fcef6248cdca941ad29bf40adae7d5a27b158a,0,9,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,15, 927b7781d935f4953351e0436717bc3d124040a3,1,20,0,13,0,1,143,0,16,1,3,0,0,1,0,0,0,0,0,0,11,1,36
brezerk/q4wine, edf81923f1f834c11876b4982e8548faacdbd2bf,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4, 828f8c4bbd9dc45e1f8d5ea70cf95a19a9715779,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3
brndnmtthws/conky, a58a6d4e081ca6ab241f20fcae80a6b6c31bf1c9,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, 0e1f4526b425401a4ef882b5b1f104384e1f3c15,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
bro/bro, b527a9870da02e053e08803083f271b6f5eb28c1,0,69,17,1,0,0,8,0,1,1,2,0,0,0,0,0,0,0,0,1,6,0,32, 34ead91f992cbc40dcb81053343e2ef60a3aff61,0,71,17,1,0,0,7,0,1,1,1,0,0,0,0,0,0,0,0,1,6,0,35
bro/pysubnettree, 812f158ab98f3a46d50a0288fbd4d7692f9de651,0,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2, 00cc7fa9a53410cff1369501eb3d4ae28ca4bc9d,0,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
casadi/casadi, 64b7712a548e929515ba68b271e60c42546742ef,0,156,0,0,0,0,76,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,5, f023bea7221d67bc60f7211fbe8dc2bbdcb1b9da,0,120,0,0,0,0,62,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,4
chenshuo/muduo, 44879bf25ff60187dcaa938a637d6ec50fd8531d,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, 8d8868e7a55cfa11c094a8efb9ee1884a9349d03,17,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
christopho/solarus, cc30297016e6deb1fbcd0b49f07e6c2059645014,133,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 903d97ddca870ca89532118e7ec7590b8f1dec3d,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
cinemast/libjson-rpc-cpp, c2453c967b2059eeb77a387a0827c0cf87f816e0,0,0,0,1,0,0,5,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0, 546d7083118fea9531342becd030069804b39a43,0,0,0,0,0,0,6,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,6
clintbellanger/flare-engine, 4fcdc4939a3544a5823b782dd90ae5b244a0eb10,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, f2918d2ce7d8176c8a33445e8bb33dccab93f909,2,1,0,0,0,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9
cmangos/mangos-classic, 806a7883c5827925450f89e0d280f6c967357c50,0,3,0,0,0,1,22,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1342,12, 343d5851ef8053d17c9d540f071744a86fd323d5,0,3,0,0,0,1,24,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1370,12
cmangos/mangos-wotlk, 73cb0915ecfdd2694a0b7aa4bd9ba56e975638db,0,3,0,0,0,1,25,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1797,11, 5c72a7f8302399a9c041acacf377c08d89d77a8e,0,3,0,0,0,1,27,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1821,11
colobot/colobot, 92a8140b778675a769440dc206b11b8012734bff,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, f67a62fb28c882b1650b827730bac72f404e2c47,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
commontk/CTK, f96b5014aac1d76468f03a708446cd334a8aba84,0,11,0,0,0,0,78,0,0,13,0,0,0,0,0,0,0,0,0,1,0,2,0, 2ace7a3a58f1fe00fa47494c73966afce2d81ea0,0,11,0,0,0,0,80,0,1,13,0,0,0,0,0,0,0,0,0,1,0,4,5
commontk/DCMTK, d8ed091cda2b815226eafe41f5b4fe3bd22f8d5d,0,0,0,0,0,0,190,0,1,0,19,0,0,0,0,0,0,0,0,0,3,0,2, ecf4c70f605b28b79e490dbd0fc7d0e203e5d5c8,0,0,0,0,0,0,191,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,3
cppformat/cppformat, c03f55ec3a0511611fa7f0537f858544a0ed03bd,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 251e8774b010b0e21ac774bd3196aabcd2f3b2d2,0,9,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ddemidov/vexcl, 9da8cb44da3cce1b3f1542fb4615069a208470ee,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 6cf94a715c054e9214c59b51fa3861fd7eca5f9d,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
deskvox/deskvox, 96e52235b5397d800f15971594327bdd3d7eacc0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, 9dc865c914b037299da11901c5a793cb6ff824d7,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
dorkster/flare-engine-next, def388a7eecbfb2ac750e6b20507d5272d723dfc,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 5c74d8c8a954c2ea367c69a8efc8a60ce69ec892,2,1,0,0,0,0,10,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9
edubart/otclient, 8c731ac016d95407eed6c2767945a97fbdd4fa83,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, c01b32b03255989497ca5331de898804e6a39a1b,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
elemental/Elemental, 351bc9460dcc58be62e9b42902e49640a97c0b0e,0,2,0,7,0,0,109,0,39,1,1,0,0,0,0,0,0,0,0,0,5,0,0, f96177ebcc0ad2a6598579df0d9fcae1babe26f5,0,101,0,0,0,0,109,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
esa/pagmo, 60d8566e2e771975fc84712fb46866007f9b3400,0,23,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0, ea8777a49c9e8e6bff2e7ae9b7a45d419f223490,0,33,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
facebook/mysql-5.6, 037c4910b360633160d97cc002c60576dea85393,612,148,0,4,0,5,315,0,6,0,104,0,0,0,0,0,0,0,0,0,1,39,237, 45f59a05cc6bcf72aa9322f5802cee6a6f98c211,612,157,0,4,0,12,315,0,6,0,113,0,0,0,0,0,0,0,0,0,1,39,252
freundlich/fcppt, 652b63c63e241376f535a470874adbcbd4e7f623,0,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4, 6b8d0816c20b28ef52a568f6fb1f4f9f5e5078e2,0,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4
freundlich/mizuiro, e1a77ff94cf11f5d2515424a923886cb62cb02dc,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3, 4f5fe1d02598404283d3783333cddda87dc7418e,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4
gnuradio/gnuradio, ac5109d25a9d94386429dd9e806268d29c8e2aac,0,539,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107, fd52df0f706195d937e287189024f8aa6fbeaf60,0,696,0,0,0,0,528,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103
hluk/CopyQ, 652ea527c37902566da9bcb152af3d1753426d4e,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 313d9245bb907d61b8e1b8530246d9033302e97b,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,26
hpcc-systems/HPCC-Platform, f2e903ffa48a4468f3718d516e240bd288719708,37,3,2,6695,0,106,1178,0,2656,613,6,0,0,0,0,0,0,0,0,0,1782,1,52, a2eb7f9cb93700e77e38cbd31ed47af187229b5b,14,32,2,5905,0,106,1638,0,2702,614,6,0,0,0,0,0,0,0,0,0,1618,1,58
imageworks/OpenColorIO, 6b744f2b4543d16f77b3fe19ae05b67c56a13673,43,39,0,0,0,0,19,0,143,4,0,0,0,0,0,0,0,0,0,0,4,0,2, b7d58e7fbd0dea7924c6c73ab4fec8739b7ef63d,43,51,0,0,0,0,19,0,143,4,0,0,0,0,0,0,0,0,0,0,4,0,2
jbeder/yaml-cpp, 0fdb1b910c1a31db80b7521446166d06cad10813,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, c335c8dd753c2b5f456a42e6dc33da16b7203713,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
juj/MathGeoLib, 07680b7cfcca72c3f852dd248eb26e4ca3e26530,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, 662276c250314488cb2e76dbb65c32c6ed1684c3,0,2,0,1,0,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,15
koreader/crengine, d0854294e0a9259d9c160b5fe9c91a123a63528b,90,11,0,0,0,2,151,0,47,0,1,0,0,0,0,2,0,0,0,8,25,0,11, 82509784f8e1fdbf9998f2806ace69babff9e15c,121,11,0,0,0,2,196,0,47,1,1,0,0,0,0,2,0,0,0,8,25,0,13
lalinsky/chromaprint, 22daf0e01ce46145d916112094997c3003c298c8,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, 33307a55f21f3bebbcb901ae525d4f383b0a0181,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ledger/ledger, bc8136fa6fbb74febee99735c8bd603b1f12ddef,0,25,0,5,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,13, 63a14fd5e0aeb64a0508ddac71803acc926425c5,0,30,0,5,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,20
libpinyin/libpinyin, 2919d7d4b9facf175d4da33418dfbb9945f4bb15,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, 230ee9362a2908e982ff7ff1766d070249cac5ca,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
libspatialindex/libspatialindex, 4768bf3e9ce5ab80c639a6017f5c1e9d093ea515,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1, 9a39ed4c01ce4f5f54e236d716f467a22aca6968,0,20,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
lightspark/lightspark, 308241eb55c5379765033e60f28dfdd956c7abcd,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5, 18956fb0c94992f98f707af12b4b107ed4631d25,0,0,0,0,0,0,51,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0,5
lotem/librime, 7f41f6527ffedcfccc16f7e4b93a3048f33cf19e,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, bb1f48a36a835bd31dd7cb64c4faf738c80cc75d,0,83,2,3,0,0,5,0,9,12,1,0,0,0,0,0,0,0,0,0,4,0,19
lxde/pcmanfm-qt, 1d38bbd24b4b51f52bbf8a7f1e9237f0ccd37766,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,2, 62990ca3954c0ab70d44d4381830b1d2d961c393,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,2
mangosthree/server, 3014c5b370139db835dba70e860841e322b17849,0,6,0,2,0,1,6,0,219,8,25,0,0,0,0,0,0,0,3,0,0,1709,29, a4fe021054f1ae4779d4a1d44c2954871b72333b,0,4,0,3,0,1,6,0,5,8,0,0,0,0,0,0,0,0,0,0,2,0,7
mavam/libbf, b6189bf6204d662294c9796f5f0e268251b5cebc,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, aafb2f1ab750b1a0d652aedea684123a1fbb0504,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mempko/firestr, 127c15179382ed9a032ffdda629750bb28f3aea0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 727b20eb6c16a8ee5e438abd7cc8c4b2b28f26ad,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mickem/nscp, f7a2c746ac423095fc2d5105ff7ba98a2721b8bf,0,61,1,2,5,0,9,2,6,1,3,0,0,0,0,0,0,0,0,0,3,0,6, 9fdde883b0ac8028232a6bd89466070861d0a8d3,0,93,1,38,6,0,9,2,20,35,3,0,0,0,0,0,0,0,0,0,15,0,19
mlpack/mlpack, 36470e9f6d3bf8d2f5e9202675c46b528881e4c1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2, cd12d5a188663151a0f6a5f1db07a7cb4a2f377a,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
mosra/corrade, 29612cc341633fa26c4c74c55920cb21ed4dd0ed,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, 402305e9e3f15dcb04e6f698e55f26d163f1fde5,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
msoos/cryptominisat, 71e49ac7de4d3c104defa24556f92fbb8dded517,0,55,0,29,0,1,3,0,2,0,4,0,0,0,0,0,0,0,0,0,3,1,34, 82c91dbfc7f585e455da835c330017811ebc058f,0,77,0,18,0,5,3,0,2,0,3,0,3,0,0,0,0,0,0,0,3,1,49
musescore/MuseScore, b520dcaf3c88b06d2e418adbe187806c37a6aaf0,0,0,0,0,0,0,357,0,94,0,0,0,0,0,0,0,0,0,0,84,8,0,1, 3a836d7fd60ffbc608679d3d7f4a2851f87e2273,0,13,0,0,0,0,468,0,145,11,1,0,0,0,0,0,0,0,0,158,8,0,17
nickbruun/hayai, 6959ca187e845f7fef1f0aa4704cbe695a8e2e45,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, c9d74ca1e78837c1d92a9dfa61138c60e286746a,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
openclonk/openclonk, 3a2c68dcc98ba47ff38ffe9cc643ecf941efe7d3,0,6,0,1,0,9,530,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3, 416a65acde056d1612ae2ab65bbadd56c250a71f,0,10,0,1,0,9,622,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
opengm/opengm, 3deaea58ba0cf9708c25cd03502e1cd9abec8875,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, 9b059056ab99ed58072b5a092a23f2e4c4908386,0,60,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
