project,v1,v2,tool,old_file,old_line,old_description,new_file,new_line,new_description,status,file_name_changed,still_bug,same_description,false_positive
Git,1.5.6,2.13.2,clang,fast-import.c,2071,Logic error Assigned value is garbage or undefined,fast-import.c,2705,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,pager.c,19,Logic error Assigned value is garbage or undefined,pager.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,match-trees.c,75,Logic error Assigned value is garbage or undefined,match-trees.c,85,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-cat-file.c,155,Logic error Assigned value is garbage or undefined,builtin/cat-file.c,210,NA,changed,1,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-merge-recursive.c,1251,Logic error Assigned value is garbage or undefined,builtin-merge-recursive.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-branch.c,91,Logic error Assigned value is garbage or undefined,builtin-branch.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,transport.c,111,Logic error Assigned value is garbage or undefined,transport.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-rev-list.c,668,Logic error Assigned value is garbage or undefined,builtin/rev-list.c,391,Logic error Assigned value is garbage or undefined,moved,1,1,1,TFP
Git,1.5.6,2.13.2,clang,builtin-fast-export.c,295,Logic error Assigned value is garbage or undefined,builtin/fast-export.c,803,NA,changed,1,0,NA,FFP2
Git,1.5.6,2.13.2,clang,object.c,201,Logic error Branch condition evaluates to a garbage value,object.c,276,NA,moved,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-pack-objects.c,505,Dead store Dead assignment,builtin-pack-objects.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-clone.c,359,Dead store Dead assignment,builtin-clone.c,NA,NA,deleted,0,NA,NA,FFP2
